time,APCP_surface,DLWRF_surface,DSWRF_surface,PRES_surface,SPFH_2maboveground,TMP_2maboveground,UGRD_10maboveground,VGRD_10maboveground,precip_rate,TMP_ground_surface
2009/06/14 20:00:00,0.0,406.2317013918347,475.6,74366.22,0.007851874342718654,290.48999999999995,4.856112,0.0,0.0,296.17999999999995
2009/06/14 21:00:00,0.0,405.0822310656158,186.2,101972.40000000001,0.007385805115426133,289.81,6.003155,0.0,0.0,292.27
2009/06/14 22:00:00,0.0,395.9952992047176,928.0,101947.5,0.0050738001635650554,288.96999999999997,2.446685,0.0,0.0,293.59999999999997
2009/06/14 23:00:00,0.0,395.5842698070436,202.1,101963.8,0.005630341972502523,288.69,4.525628,0.0,0.0,289.71
2009/06/15 00:00:00,0.0,393.87153442533383,180.3,101968.6,0.006477620712997509,288.12,6.079917,0.0,0.0,288.46999999999997
2009/06/15 01:00:00,0.508,376.6669073264242,106.6,101961.1,0.006679054019753161,285.01,6.206495,0.0,0.0,285.10999999999996
2009/06/15 02:00:00,0.0,374.02868492621906,43.46,101968.3,0.006759931546668974,284.51,3.409666,0.0,0.0,284.02
2009/06/15 03:00:00,0.0,371.53365658399895,2.515,102036.1,0.0060693879730995,284.26,3.677827,0.0,0.0,282.79999999999995
2009/06/15 04:00:00,0.0,364.95651849144133,0.0,102008.1,0.006111561735979984,283.03999999999996,3.724234,0.0,0.0,282.64
2009/06/15 05:00:00,0.0,366.2155623197755,0.0,102040.20000000001,0.006181150389343299,283.25,4.499135,0.0,0.0,282.53
2009/06/15 06:00:00,0.254,360.98212023325107,0.0,102097.40000000001,0.006276146401522206,282.25,1.969583,0.0,0.0,281.75
2009/06/15 07:00:00,0.0,359.5632014984191,0.0,102123.6,0.005586905345989451,282.21,1.216992,0.0,0.0,281.84999999999997
2009/06/15 08:00:00,0.0,345.94408042509394,0.0,102065.4,0.005642997065060864,279.609,1.752757,0.0,0.0,279.08
2009/06/15 09:00:00,0.0,343.6800293311395,0.0,102071.0,0.005429116208456552,279.248,1.279304,0.0,0.0,277.823
2009/06/15 10:00:00,0.0,343.4859572338003,0.0,101989.8,0.005451279589477066,279.20399999999995,2.08078,0.0,0.0,278.827
2009/06/15 11:00:00,0.0,339.1729614848559,0.0,101949.2,0.005080966240187358,278.506,1.467772,0.0,0.0,277.89799999999997
2009/06/15 12:00:00,0.0,336.6062347272941,15.76,101977.9,0.004800270462796864,278.11699999999996,1.781448,0.0,0.0,277.383
2009/06/15 13:00:00,0.0,354.14988951457326,182.7,102052.3,0.005215512903053943,281.33,1.031337,0.0,0.0,280.222
2009/06/15 14:00:00,0.0,364.9023773760738,358.4,101996.40000000001,0.005324552430305861,283.29999999999995,1.212157,0.0,0.0,284.90999999999997
2009/06/15 15:00:00,0.0,383.82622994699807,560.1,101957.3,0.00490098505157071,286.9,5.297464,0.0,0.0,289.40999999999997
2009/06/15 16:00:00,0.0,383.87297329878174,579.3,101993.2,0.004730936422760607,286.97999999999996,6.902934,0.0,0.0,290.35999999999996
2009/06/15 17:00:00,0.0,389.97533090539935,737.5,102025.5,0.0044418534884938885,288.19,4.911143,0.0,0.0,294.27
